Gemeentecode;Wijkcode;Regionaam;Gemiddeld persoonlijk inkomen per inwoner (x 1000 euro);40 procent huishoudens met laagste besteedbaar inkomen;20 procent huishoudens met hoogste besteedbaar inkomen
GM0503;Totaal;Delft;25,6;57;14
;WK050311;Wijk 11 Binnenstad;30,5;60,4;15,3
;WK050312;Wijk 12 Vrijenban;25,1;58,5;12,6
;WK050313;Wijk 13 Hof van Delft;26,9;57,2;15,3
;WK050314;Wijk 14 Voordijkshoorn;29,5;38,9;27,3
;WK050316;Wijk 16 Delftse Hout;.;.;.
;WK050322;Wijk 22 Tanthof-West;28,1;37,7;20,6
;WK050323;Wijk 23 Tanthof-Oost;26,5;44,7;14,2
;WK050324;Wijk 24 Voorhof;21,2;63,8;5,8
;WK050325;Wijk 25 Buitenhof;21,3;63,1;10,1
;WK050326;Wijk 26 Abtswoude;.;.;.
;WK050327;Wijk 27 Schieweg;34,6;35,6;27,1
;WK050328;Wijk 28 Wippolder;22,3;70,5;9,7
;WK050329;Wijk 29 Ruiven;25,5;52,1;15,8
GM0505;Totaal;Dordrecht;26,1;41,7;17,6
;WK050501;Wijk 01 Binnenstad;33,4;44,5;17,1
;WK050502;Wijk 02 Noordflank;26,7;48,8;17,2
;WK050503;Wijk 03 Oud Krispijn;21,3;43,7;12
;WK050504;Wijk 04 Nieuw-krispijn;20,9;56,5;8,6
;WK050505;Wijk 05 Het Reeland;26,5;40,8;17,8
;WK050506;Wijk 06 Staart;22,8;51,4;7,1
;WK050507;Wijk 07 Wielwijk;22;56,3;10,8
;WK050508;Wijk 08 Crabbehof/Zuidhoven;21,5;60,4;7,1
;WK050509;Wijk 09 Sterrenburg;25,5;38,1;16,6
;WK050510;Wijk 10 Dubbeldam;31,2;26,5;33,1
;WK050511;Wijk 11 Stadspolders;28,1;27,2;26,6
;WK050519;Wijk 19 Industriegebied West;26,7;29,4;26,2
;WK050598;Wijk 98 Verspreide bebouwing;29,8;27,6;32,5
GM0512;Totaal;Gorinchem;26,7;41,3;19,5
;WK051201;Wijk 01 Gorinchem binnenstad;31,7;47,4;15,5
;WK051202;Wijk 02 Wijdschild;29,4;22,5;28,4
;WK051203;Wijk 03 Lingewijk;23,7;46,2;12,5
;WK051204;Wijk 04 haarwijk;23,1;42,4;16,7
;WK051205;Wijk 05 Stalkaarsen;24,7;42;12,8
;WK051206;Wijk 06 Gildenwijk;20,5;66,8;4,4
;WK051207;Wijk 07 Schelluinsestraat;24,8;.;.
;WK051208;Wijk 08 Avelingen Oost;.;.;.
;WK051209;Wijk 09 Avelingen West;.;.;.
;WK051210;Wijk 10 Molenvliet;.;.;.
;WK051211;Wijk 11 laag Dalem;29,5;22;36
;WK051212;Wijk 12 Dalem;31,3;17,5;33,9
;WK051213;Wijk 13 Hoog Dalem;31,7;9,1;45,3
;WK051214;Wijk 14 Bedrijventerrein Oost;.;.;.
;WK051215;Wijk 15 Papland;.;.;.
;WK051216;Wijk 16 schotdeuren;31,4;.;.
;WK051217;Wijk 17 Bedrijventerrein Noord;.;.;.
;WK051218;Wijk 18 Landelijk gebied West;27,3;.;.
;WK051219;Wijk 19 Landelijk gebied Noord;.;.;.
;WK051220;Wijk 20 Landelijk gebied Oost;.;.;.
;WK051221;Wijk 21 Landelijk gebied Zuid;.;.;.
GM0513;Totaal;Gouda;27;39,4;19,5
;WK051301;Binnenstad;31,8;47,6;17,4
;WK051302;De Korte Akkeren;22,1;45,1;10,2
;WK051303;Bloemendaal;29,6;36,6;20,1
;WK051304;Plaswijck;26,7;37;20,8
;WK051305;Noord;27;38,9;21,1
;WK051306;Kort Haarlem;25,3;43,3;18,3
;WK051307;Goverwelle;26,5;27,6;26,7
;WK051308;Stolwijkersluis;39,3;31,1;33,2
;WK051309;Westergouwe;29,6;38,7;31
GM0518;Totaal;'s-Gravenhage;27,1;48,4;17,3
;WK051801;Wijk 01 Oostduinen;.;.;.
;WK051802;Wijk 02 Belgisch Park;36,4;39,5;27,3
;WK051803;Wijk 03 Westbroekpark en Duttendel;54,8;25,4;42,3
;WK051804;Wijk 04 Benoordenhout;48,6;22,6;42,6
;WK051805;Wijk 05 Archipelbuurt;56,4;35,8;32,9
;WK051806;Wijk 06 Van Stolkpark en Scheveningse Bo;61,5;31,4;41,3
;WK051807;Wijk 07 Scheveningen;29,6;47,7;18,6
;WK051808;Wijk 08 Duindorp;23,4;49,3;12,7
;WK051809;Wijk 09 Geuzen- en Statenkwartier;40,7;33,9;32,6
;WK051810;Wijk 10 Zorgvliet;53,6;22,4;46,7
;WK051811;Wijk 11 Duinoord;42,1;37,9;28,8
;WK051812;Wijk 12 Bomen- en Bloemenbuurt;31,3;33,7;21,4
;WK051813;Wijk 13 Vogelwijk;44,8;10,7;59,2
;WK051814;Wijk 14 Bohemen en Meer en Bos;34,1;42;17
;WK051815;Wijk 15 Kijkduin en Ockenburgh;42,3;28;38,1
;WK051816;Wijk 16 Kraayenstein en Vroondaal;35,1;29,1;29,8
;WK051817;Wijk 17 Loosduinen;25,3;42,5;15,7
;WK051818;Wijk 18 Waldeck;25,8;49,4;10,4
;WK051819;Wijk 19 Vruchtenbuurt;31,9;25,6;28,1
;WK051820;Wijk 20 Valkenboskwartier;25,7;51,3;12,7
;WK051821;Wijk 21 Regentessekwartier;29,1;52,2;15,8
;WK051822;Wijk 22 Zeeheldenkwartier;32,9;54;16,8
;WK051823;Wijk 23 Willemspark;54,5;37,7;27,5
;WK051824;Wijk 24 Haagse Bos;48,3;41,7;19,5
;WK051825;Wijk 25 Mariahoeve en Marlot;27,1;56,9;11
;WK051826;Wijk 26 Bezuidenhout;34,2;42,7;20,1
;WK051827;Wijk 27 Stationsbuurt;22,4;71,8;8,3
;WK051828;Wijk 28 Centrum;30,4;59;12,7
;WK051829;Wijk 29 Schildersbuurt;15,4;64,1;7,9
;WK051830;Wijk 30 Transvaalkwartier;16,6;60,3;8,5
;WK051831;Wijk 31 Rustenburg en Oostbroek;20,8;49,3;7,8
;WK051832;Wijk 32 Leyenburg;25;44,8;9,9
;WK051833;Wijk 33 Bouwlust en Vrederust;19,1;61,7;8,5
;WK051834;Wijk 34 Morgenstond;20,3;62;8,2
;WK051835;Wijk 35 Zuiderpark;21,4;83,2;0
;WK051836;Wijk 36 Moerwijk;17,7;69,1;5,8
;WK051837;Wijk 37 Groente- en Fruitmarkt;17,8;51,2;12,8
;WK051838;Wijk 38 Laakkwartier en Spoorwijk;19;60,2;6,6
;WK051839;Wijk 39 Binckhorst;35,8;53,2;10
;WK051840;Wijk 40 Wateringse Veld;28,6;25,6;35,4
;WK051841;Wijk 41 Hoornwijk;27,3;71,2;16,5
;WK051842;Wijk 42 Ypenburg;30,2;25,4;37,3
;WK051843;Wijk 43 Forepark;39,6;.;.
;WK051844;Wijk 44 Leidschenveen;29,9;19;41,3
GM0523;Totaal;Hardinxveld-Giessendam;24,9;31,1;24,1
;WK052301;Neder Hardinxveld;24,9;28,6;24,9
;WK052302;De Peulen;24,5;43,2;16,1
;WK052303;Boven Hardinxveld;24,9;31,3;23,6
;WK052304;Giessendam;25,2;25,2;29,1
GM0530;Totaal;Hellevoetsluis;28,9;32,2;22,3
;WK053000;Wijk 00 Hellevoet;29;41,5;18,3
;WK053001;Wijk 01 Nieuw-Helvoet;25,8;36,8;16,6
;WK053002;Wijk 02 Nieuwenhoorn;32,4;28,2;29,8
;WK053003;Wijk 03 De Struyten;27;28,3;18,6
;WK053004;Wijk 04 De Kooistee;25,3;35,4;16,5
;WK053005;Wijk 05 Den Bonsen Hoek;33,9;23,7;33,4
;WK053006;Wijk 06 Ravense Hoek;36,2;11,4;47,4
;WK053007;Wijk 07 Centrumgebied;26;63,8;4,6
;WK053008;Wijk 08 Kickers Bloem;.;.;.
;WK053009;Wijk 09 Buitengebied;34,2;26,5;33,9
;WK053010;Oudenhoorn;30;27,5;27
GM0531;Totaal;Hendrik-Ido-Ambacht;28;26,8;28,6
;WK053101;Wijk 01 Centrum;25,3;33,4;21,8
;WK053102;Wijk 02 Krommeweg;28,3;26;26,2
;WK053103;Wijk 03 De Volgerlanden;30,4;20,1;37,9
;WK053104;Wijk 04 Sandelingen-Ambacht;39,6;.;.
;WK053105;Wijk 05 De Oevers;29,6;.;.
GM0532;Totaal;Stede Broec;24,8;33,7;19,3
;WK053201;Stede Broec Buitengebied;31,7;.;.
;WK053202;Stede Broec Noord;26,7;29,3;24,9
;WK053203;Stede Broec Zuid;22,7;38,3;13,1
GM0534;Totaal;Hillegom;28,2;32,7;22
;WK053401;Hillegom Midden;25,4;42,8;13,9
;WK053402;Hillegom Noord;28,6;30,7;26,8
;WK053403;Hillegom Zuid;27,7;29,3;21,9
;WK053404;Hillegom West;32,3;23,9;29,5
;WK053405;Buitengebied;31,5;26,7;32
GM0537;Totaal;Katwijk;25,6;31,9;23,8
;WK053701;Katwijk Noord;24,1;36,3;18,2
;WK053702;'t Heen;.;.;.
;WK053703;Katwijk aan den Rijn;25,3;34,6;24
;WK053705;Katwijk aan Zee;25,2;33,5;22,6
;WK053706;Landelijk gebied Katwijk;.;.;.
;WK053707;Rijnsburg;27,1;28,1;27,2
;WK053708;Valkenburg;27,2;21,4;31,3
GM0542;Totaal;Krimpen aan den IJssel;26,6;34,4;21,8
;WK054200;Wijk 00 Krimpen aan den IJssel;26,6;34,4;21,8
GM0546;Totaal;Leiden;28,3;52;17
;WK054600;Binnenstad-Zuid;28,3;70,1;10
;WK054601;Binnenstad-Noord;27,8;66;9,5
;WK054602;Stationsdistrict;32,3;51,5;15,5
;WK054603;Leiden-Noord;24,6;55,9;12,5
;WK054604;Roodenburgerdistrict;32,7;40,2;27,1
;WK054605;Bos- en Gasthuisdistrict;26,1;55,8;13,2
;WK054606;Morsdistrict;26,9;53,2;13,7
;WK054607;Boerhaavedistrict;33,8;56,5;22,7
;WK054608;Merenwijkdistrict;28,5;32,5;25,7
;WK054609;Stevenshofdistrict;27,8;33,3;24,5
GM0547;Totaal;Leiderdorp;30,3;31,2;26,2
;WK054700;Wijk 00;29,6;34,7;22,1
;WK054701;Wijk 01;32,4;25,1;35,4
;WK054702;Wijk 02;30,5;26,5;30,7
GM0553;Totaal;Lisse;28,1;34;23,1
;WK055301;Lisse Noord;26,9;34,6;19,9
;WK055302;Centrum;29,9;36,9;22,9
;WK055303;Lisse Zuid;27,4;31,1;24,9
;WK055304;Buitengebied;28,6;32,1;28,2
GM0556;Totaal;Maassluis;26,4;37,8;18,5
;WK055601;Wijk 01 Taanschuurpolder;26,9;35;18,7
;WK055602;Wijk 02 Dijkpolder;24,1;47,1;15,1
;WK055603;Sluispolder;25,3;47,9;13,7
;WK055604;Wijk 04 Kapelpolder;25,5;43,8;17,2
;WK055605;Wijk 05 Burgemeesterswijk;26,7;29,9;19,4
;WK055606;Wijk 06 Steendijkpolder;29,4;16,7;26,7
;WK055607;Wijk 07 Aalkeetpolder;37,4;.;.
;WK055608;Wijk 08 Wilgenrijk;38,7;8,9;64,2
GM0569;Totaal;Nieuwkoop;28,8;27,8;28,6
;WK056900;Wijk 00;28,8;27,7;28,5
;WK056901;Wijk 01 Nieuwveen;27,6;26,7;30,1
;WK056902;Wijk 02 Zevenhoven;29,3;28,5;28,8
;WK056903;Wijk 03 Ter Aar;29,1;28,2;28,2
GM0575;Totaal;Noordwijk;29,9;34,5;24,8
;WK057500;Noordwijk Zee;35,1;37,8;26,1
;WK057501;Noordwijk Binnen;29,6;32,9;24,7
;WK057502;Noordwijk Buitengebied;33;29,9;35,1
;WK057503;Noordwijkerhout;27,4;36,1;21,7
;WK057504;Noordwijkerhout Buitengebied;31,1;32,8;34
;WK057505;De Zilk;26,3;27,6;24,6
GM0579;Totaal;Oegstgeest;37,7;25,7;36,2
;WK057901;Oud Oegstgeest;48,2;14,5;54,5
;WK057902;Oudenhof;34,1;33,8;24,5
;WK057903;De Kwaak;44,1;14,3;50,7
;WK057904;Oegstgeest Noord;33,1;27,9;33
;WK057905;Oegstgeest West;33,9;23,9;37,5
GM0589;Totaal;Oudewater;28,3;29,1;28,4
;WK058901;Hekendorp;28,5;21,3;37,3
;WK058902;Oudewater;27,6;31,2;25,5
;WK058903;Papekop;29,5;21;41,3
;WK058904;Snelrewaard;33,8;14,9;49,7
GM0590;Totaal;Papendrecht;27,5;32,3;22,1
;WK059001;Westpolder;26,4;35,3;17,4
;WK059002;Molenvliet;27,4;25,3;26,6
;WK059003;Kraaihoek;23,9;46,9;11,9
;WK059004;Middenpolder;29,4;26,2;20,7
;WK059005;Wilgendonk;29,2;24,7;30,5
;WK059006;De Kooy-Oosteind;28,3;24,6;17,1
;WK059007;Oostpolder;31,3;22,3;40
;WK059008;Vriesenpolder;.;.;.
;WK059009;De Noordoever;.;.;.
GM0597;Totaal;Ridderkerk;26,3;38,3;18,8
;WK059701;Centrum;24,8;48,7;10,7
;WK059702;West;23,7;48,8;9,9
;WK059703;Oost;23,8;42,5;14,8
;WK059704;Drievliet;26,5;35;20,7
;WK059705;Het Zand;31,1;19,5;35,2
;WK059706;Slikkerveer;26,8;33,6;21
;WK059707;Bolnes;25,5;43,5;15,8
;WK059708;Rijsoord;31;25,2;32,8
;WK059709;Oostendam;27,3;28,8;32,1
;WK059710;Donkersloot;29,4;.;.
;WK059711;Verenambacht;.;.;.
;WK059712;Cornelisland;.;.;.
GM0599;Totaal;Rotterdam;25,2;52,9;13,9
;WK059901;Rotterdam Centrum;33,5;51,6;15,9
;WK059903;Delfshaven;21,8;59,6;10,1
;WK059904;Overschie;26,6;44,1;21,6
;WK059905;Noord;27;53,9;12,7
;WK059906;Hillegersberg-Schiebroek;33,4;40,5;27,6
;WK059908;Kralingen-Crooswijk;27,4;58,4;13,4
;WK059910;Feijenoord;21,1;60;10,1
;WK059912;IJsselmonde;21,9;52,7;10,3
;WK059913;Pernis;26,7;34,1;18,3
;WK059914;Prins Alexander;27,5;46,4;18,6
;WK059915;Charlois;20,1;61,3;6,8
;WK059916;Hoogvliet;24,5;44,5;14,3
;WK059917;Hoek van Holland;28,1;39;21,8
;WK059918;Spaanse Polder;.;.;.
;WK059919;Nieuw Mathenesse;.;.;.
;WK059921;Waalhaven-Eemhaven;.;.;.
;WK059922;Vondelingenplaat;.;.;.
;WK059923;Botlek-Europoort-Maasvlakte;.;.;.
;WK059924;Rotterdam-Noord-West;.;.;.
;WK059925;Rivium;.;.;.
;WK059927;Rozenburg;26,5;37,4;17,9
GM0603;Totaal;Rijswijk;28,8;41,9;18,9
;WK060301;Wijk 01;38,5;20,2;38,1
;WK060302;Wijk 02;29,5;43,3;16,8
;WK060303;Wijk 03;40,2;31,7;46
;WK060304;Wijk 04;26,7;50,1;11
;WK060305;Wijk 05;31,8;40,8;12,4
;WK060306;Wijk 06;27;51,2;8,3
;WK060307;Wijk 07;23,2;54,6;8,8
;WK060308;Wijk 08;29,8;40,4;23,5
;WK060309;Wijk 09;24,1;46,8;13,2
;WK060310;Wijk 10;31,9;8,8;50
;WK060311;Wijk 11;32,4;32,2;33,3
GM0606;Totaal;Schiedam;25;45,6;15
;WK060600;Wijk 00 Centrum;26,9;52;12,8
;WK060601;Wijk 01 Oost;21,9;53,8;7,8
;WK060602;Wijk 02 Tussen Havens en Grachten;33,6;36,4;20,8
;WK060603;Wijk 03 West;27,1;40,6;18,2
;WK060604;Wijk 04 Zuid;23,4;49;9,8
;WK060605;Wijk 05 Nieuw Mathenesse;.;.;.
;WK060606;Wijk 06 Nieuwland;20,3;57,2;9,7
;WK060607;Wijk 07 Groenoord en Kethel;23,1;50,4;11
;WK060608;Wijk 08 Industriegeb. ten N. v. Rijksweg;27,4;34,5;29
;WK060609;Wijk 09 Woudhoek/Spaland /Sveaparken;30,1;25,9;29,3
GM0610;Totaal;Sliedrecht;24,7;37,2;19,1
;WK061001;Wijk 01 Sliedrecht-West;25,8;21,7;25,4
;WK061002;Wijk 02 Sliedrecht-Centrum;24,1;42;14,9
;WK061003;Wijk 03 Sliedrecht-Oost;24,8;40,6;20,3
;WK061004;Wijk 04 Sliedrecht-Noord;24,9;.;.
GM0613;Totaal;Albrandswaard;32,1;26;34,2
;WK061301;Wijk 01 Poortugaal-Noord;35,9;17,6;45,5
;WK061302;Wijk 02 Rhoon-Noord;32,8;29,4;24,9
;WK061303;Wijk 03 Poortugaal-Zuid;31;28,5;31,2
;WK061304;Wijk 04 Rhoon-Zuid;32,4;30;28,3
;WK061305;Wijk 05 Buitengebied Albrandswaard;36;.;.
;WK061306;Wijk 06 Portland;31,2;21,8;41,7
;WK061307;Wijk 07 Rotterdam-Albrandswaard;.;.;.
GM0614;Totaal;Westvoorne;34,2;27,8;32,3
;WK061400;Wijk 00 Rockanje;32,8;29,3;28,2
;WK061401;Wijk 01 Oostvoorne;35,4;26,7;35,6
GM0622;Totaal;Vlaardingen;25,5;45;15,7
;WK062201;Centrum;24,3;46,3;11,3
;WK062202;Westwijk;22,1;51,3;10,5
;WK062203;Vettenoordse Polder;24,4;68,8;4,7
;WK062204;Oostwijk;28,6;40,1;21,3
;WK062205;Vlaardinger Ambacht;26,1;35,7;22,2
;WK062206;Holy Zuid;24,8;54,4;12,2
;WK062207;Holy Noord;28,2;37,9;20,9
;WK062208;Broekpolder;.;.;.
GM0626;Totaal;Voorschoten;33,1;29,7;31,2
;WK062600;Wijk 00;33,1;29,7;31,2
GM0627;Totaal;Waddinxveen;26,9;31;23,8
;WK062701;Wijk 01;24,4;40,4;17,6
;WK062702;Wijk 02;30;20,7;32,4
;WK062703;Wijk 03;23,7;37;15,8
;WK062704;Wijk 04;28,3;27,5;27,1
GM0629;Totaal;Wassenaar;46,5;32,4;35,7
;WK062900;Wijk 00 Zuidwestelijk deel der gemeente;76,2;21,8;56,4
;WK062901;Wijk 01 Noordoostelijk deel der gemeente;36,1;35,8;29
GM0632;Totaal;Woerden;29,5;29,5;28,7
;WK063201;Wijk 01 Woerden-Midden;27,9;36,9;21,5
;WK063202;Wijk 02 Woerden-West;28,4;32;25,9
;WK063203;Wijk 03 Woerden-Oost;33,6;15,5;43,6
;WK063204;Wijk 04 Buitengebied Woerden-West;35,3;25,9;36,1
;WK063205;Wijk 05 Buitengebied Woerden-Oost;33,2;11,3;57,6
;WK063206;Wijk 06 Harmelen;29,9;25,6;31,1
;WK063207;Wijk 07 Kamerik;29;26,2;31,6
;WK063208;Wijk 08 Zegveld;27,6;26,1;32,1
GM0637;Totaal;Zoetermeer;27,7;35,3;21,1
;WK063700;Centrum;25,9;48,9;10,5
;WK063701;Meerzicht;23,7;46,1;12,4
;WK063702;Buytenwegh de Leyens;27,1;36,3;18,9
;WK063703;Seghwaert;26,6;33,9;18
;WK063704;Noordhove;31;26,5;30,1
;WK063705;Rokkeveen;31,2;24,3;30,8
;WK063706;Oosterheem;28,7;23,6;33,1
;WK063708;Industriegebied;30,1;27,4;30,5
;WK063709;Buitengebied;37,7;19,8;45,7
GM0638;Totaal;Zoeterwoude;29,6;25,9;30,4
;WK063800;Zoeterwoude-Dorp;29,5;27,9;28,1
;WK063801;Westeinde;31,9;.;.
;WK063802;Zuidbuurt;30,5;23,9;33,7
;WK063803;Weipoort;33,8;14,6;45,1
;WK063804;Gelderswoude;.;.;.
;WK063809;Verspreide huizen;.;.;.
;WK063810;Zoeterwoude-Rijndijk;29,2;25,2;30,3
GM0642;Totaal;Zwijndrecht;26;39;18,2
;WK064201;Wijk 01 Walburg;26,5;45,9;17,2
;WK064202;Wijk 02 Centrum;26,5;39,3;17,3
;WK064203;Wijk 03 Noord;23;44,8;13,3
;WK064204;Wijk 04 Heer Oudelands Ambacht;29,7;18,6;30,1
;WK064205;Wijk 05 Kort Ambacht;23,1;42,9;11,5
;WK064206;Wijk 06 Nederhoven;25,3;40,1;17,4
;WK064207;Wijk 07 Verspreide bebouwing;30,8;.;.
;WK064208;Wijk 08 Bebouwde kom Heerjansdam;28,4;34;23,8
;WK064209;Wijk 09 Landelijk gebied Heerjansdam;33,7;18,9;45,3
GM0654;Totaal;Borsele;26;31,3;22,1
;WK065401;Baarland;25,1;28,1;21,7
;WK065402;Borssele;21,5;33,8;20,1
;WK065403;Driewegen;29,4;23,6;27,3
;WK065404;Ellewoutsdijk;26,6;34,6;14,6
;WK065405;Heinkenszand;28;30,1;23,4
;WK065406;Hoedekenskerke;25,9;28,9;22,1
;WK065407;Kwadendamme;28;37,1;22,6
;WK065408;Lewedorp;26,3;29,9;21,4
;WK065409;Nieuwdorp;25,1;30,5;20,2
;WK065410;Nisse;29,8;25,6;27,4
;WK065411;Oudelande;27,7;27,8;24,5
;WK065412;Ovezande;26,9;36,7;21,2
;WK065413;'s-Gravenpolder;23;30,6;21,8
;WK065414;'s-Heer Abtskerke;29,7;23;32,4
;WK065415;'s-Heerenhoek;25,5;37,7;17,4
GM0664;Totaal;Goes;26,5;39,6;18,2
;WK066401;Wijk 01 Goes;25,9;43,9;15,5
;WK066402;Wijk 02 Wilhelminadorp;27,5;26,4;29,8
;WK066403;Wijk 03 Kloetinge;29,7;22,6;29,9
;WK066404;Wijk 04 Kattendijke;30;23,5;28,7
;WK066405;Wijk 05 's-Heer-Arendskerke;27,7;29,6;22,5
;WK066406;Wijk 06 Eindewege;25,7;.;.
;WK066407;Wijk 07 's-Heer-Hendrikskinderen;30;19,5;31,6
;WK066408;Wijk 08 Wolphaartsdijk;25,6;34,9;19,8
;WK066409;Wijk 09 Oud-Sabbinge;27,9;23,3;30,2
GM0668;Totaal;West Maas en Waal;26,8;32,8;23,6
;WK066801;Wijk 01 Alphen;27,5;30,4;25,3
;WK066802;Wijk 02 Altforst;27,5;21,1;35,2
;WK066803;Wijk 03 Appeltern;30,5;26,1;29,9
;WK066804;Wijk 04 Beneden-Leeuwen;25,6;37,7;19,5
;WK066805;Wijk 05 Boven-Leeuwen;26,6;30,2;25,8
;WK066806;Wijk 06 Dreumel;27,3;31;24,8
;WK066807;Wijk 07 Maasbommel;28,3;31,3;25,6
;WK066808;Wijk 08 Wamel;27,1;31,2;24,9
GM0677;Totaal;Hulst;27,1;36,9;19,7
;WK067701;Hulst;27,6;39,9;18,9
;WK067702;Sint Jansteen;27,2;32;20,1
;WK067703;Clinge;25,6;38,3;17,8
;WK067704;Graauw;26,2;37,5;20
;WK067705;Heikant;29,4;28;25,7
;WK067706;Nieuw Namen;27,9;33,3;22,3
;WK067707;Kapellebrug;27,4;37,5;20,8
;WK067708;Kloosterzande;25,7;37,6;19,6
;WK067709;Lamswaarde;26,1;36,8;17
;WK067710;Terhole;26,5;39,4;20,6
;WK067711;Vogelwaarde;25,3;36;21
;WK067712;Hengstdijk;27,6;31,8;21,7
;WK067713;Ossenisse;30,3;29;21,4
;WK067714;Kuitaart;31;26;20
;WK067715;Walsoorden;26,5;25,2;19,4
GM0678;Totaal;Kapelle;26,4;28;25
;WK067800;Wijk 00 Kapelle;26,2;26,7;26,5
;WK067801;Wijk 01 Wemeldinge;26,9;32;22,1
;WK067802;Wijk 02 Schore;27,3;25;16,7
GM0687;Totaal;Middelburg;25,9;40,7;16,6
;WK068700;Binnenstad;30,9;49,9;14,3
;WK068710;Griffioen;26,5;33,6;15,7
;WK068711;Klarenbeek;27,1;39,3;21,6
;WK068712;Nieuw Middelburg;23,3;55,9;8,2
;WK068713;Brigdamme;29,3;18,9;32,1
;WK068714;Sint Laurens;26,6;23,9;22,2
;WK068715;Ramsburg;.;.;.
;WK068716;Veersepoort;34,3;19,4;32,3
;WK068717;Verspreide huizen in het noorden;.;.;.
;WK068718;Verspreide huizen in het noordwesten;.;.;.
;WK068719;Verspreide huizen in het noordoosten;.;.;.
;WK068720;Stromenwijk/'t Zand;23,4;49,4;11
;WK068729;Verspreide huizen in het zuidwesten;27,3;25,2;28,2
;WK068730;Middelburg Zuid;24,7;34,1;15,8
;WK068731;Dauwendaele;20,8;52,5;7,7
;WK068732;Arnestein;.;.;.
;WK068739;Mortiere;31,1;7,6;46,2
;WK068740;Nieuw- en Sint Joosland;24,9;34,2;15,3
;WK068749;Verspr.h. Nieuw- en Sint Joosland;25,9;.;.
;WK068750;Arnemuiden;24,2;32;22,5
;WK068751;Kleverskerke;.;.;.
;WK068752;Oranjeplaat;.;.;.
;WK068753;Veerse Meer;.;.;.
;WK068759;Verspreide huizen Arnemuiden;24,9;.;.
GM0703;Totaal;Reimerswaal;23,2;35;19,3
;WK070300;Wijk 00 Yerseke;24,1;33,7;20,4
;WK070301;Wijk 01 Kruiningen;22,7;33,3;19,7
;WK070302;Wijk 02 Krabbendijke;21,8;31,1;19,5
;WK070303;Wijk 03 Waarde;22,1;23,5;28,3
;WK070304;Wijk 04 Rilland-Bath;23,9;44,3;15
;WK070305;Wijk 05 Hansweert;24,1;44,2;13,4
;WK070306;Wijk 06 Oostdijk;22,3;17,9;35,9
GM0715;Totaal;Terneuzen;26,2;39,6;17,1
;WK071501;Kern Axel;24,9;45,7;13,7
;WK071502;Buitengebied Axel;28,3;25,9;31
;WK071503;Kern Biervliet;26,4;36,7;16,5
;WK071504;Buitengebied Biervliet;30,5;30,6;41,8
;WK071505;Kern Hoek;25;37,4;15,5
;WK071506;Buitengebied Hoek;27,9;26,3;29
;WK071507;Kern Koewacht;26,1;35,4;18,3
;WK071508;Buitengebied Koewacht;29,6;22,6;31,1
;WK071509;Kern Overslag;24,8;.;.
;WK071510;Buitengebied Overslag;.;.;.
;WK071511;Kern Philippine;29,6;28,9;21,9
;WK071512;Buitengebied Philippine;26,6;.;.
;WK071513;Kern Sas van Gent;22,9;48,6;9,3
;WK071514;Buitengebied Sas van Gent;28,6;33,3;22,4
;WK071515;Kern Sluiskil;23,8;43,5;13,3
;WK071516;Buitengebied Sluiskil;.;.;.
;WK071517;Kern Spui;31,2;.;.
;WK071518;Buitengebied Spui;.;.;.
;WK071519;Buitengebied Terneuzen;.;.;.
;WK071520;Terneuzen Centrum;25,3;64,8;7,5
;WK071521;Terneuzen Noord;24;44;11,1
;WK071522;Terneuzen West;31,9;.;.
;WK071523;Terneuzen Zuid;26,7;36,1;18,9
;WK071524;Terneuzen Oost;35;8,5;47,1
;WK071525;Kern Westdorpe;26,5;36,4;17,6
;WK071526;Buitengebied Westdorpe;.;.;.
;WK071527;Kern Zaamslag;24,9;35,6;18,6
;WK071528;Buitengebied Zaamslag;30,2;23,1;29,2
;WK071529;Kern Zuiddorpe;26,7;36,7;17,7
;WK071530;Buitengebied Zuiddorpe;32,9;.;.
GM0716;Totaal;Tholen;24,1;34,8;20,4
;WK071600;Tholen;25,6;33,6;23,6
;WK071601;Poortvliet;23,4;32,5;19,4
;WK071602;Scherpenisse;21,3;33,3;19,1
;WK071603;Sint-Maartensdijk;23,2;41,7;15,6
;WK071604;Stavenisse;21,3;38,3;18,8
;WK071605;Sint-Annaland;23,8;34,6;18,9
;WK071606;Oud-Vossemeer;24,8;33,9;21,1
;WK071607;Sint Philipsland;24,9;29,7;21,2
GM0717;Totaal;Veere;26,5;29;23,5
;WK071700;Wijk 00 Veere;28,7;28,6;28,2
;WK071701;Wijk 01 Gapinge;29,7;27,6;26,2
;WK071702;Wijk 02 Vrouwenpolder;28,7;33,9;20,2
;WK071703;Wijk 03 Serooskerke;25,4;26,4;23,3
;WK071704;Wijk 04 Domburg;29,8;32,5;21,8
;WK071705;Wijk 05 Oostkapelle;26,5;29;22,1
;WK071706;Wijk 06 Aagtekerke;21,7;26,6;26,9
;WK071707;Wijk 07 Grijpskerke;26;29,3;23,1
;WK071708;Wijk 08 Meliskerke;20,8;25,6;22,8
;WK071709;Wijk 09 Koudekerke;27,5;26,5;23,6
;WK071710;Wijk 10 Biggekerke;27,6;29,2;24,6
;WK071711;Wijk 11 Zoutelande;28,7;28,4;25,4
;WK071712;Wijk 12 Westkapelle;26;32,2;21,1
GM0718;Totaal;Vlissingen;24,7;46,9;12,5
