Gemeentecode;Wijkcode;Regionaam;Gemiddeld persoonlijk inkomen per inwoner (x 1000 euro);40 procent huishoudens met laagste besteedbaar inkomen;20 procent huishoudens met hoogste besteedbaar inkomen
;WK017301;Wijk 01 Binnenstad;27,7;62,4;8,5
;WK017302;Wijk 02 Het Inslag-De Kleies;26,5;49,8;15,7
;WK017303;Wijk 03 Glinde-Hooiland;23,1;51;14,2
;WK017304;Wijk 04 De Meijbree;27,6;37,8;24,5
;WK017305;Wijk 05 Haerbroek-Scholtenhoek;33,2;23,4;33,6
;WK017306;Wijk 06 Zuid-Berghuizen;21,4;49,6;11,2
;WK017307;Wijk 07 Hanzepoort;.;.;.
;WK017308;Wijk 08 Eekte-Hazewinkel;25,3;.;.
;WK017309;Wijk 09 Jufferbeek;27;.;.
;WK017310;Wijk 10 Het Hulsbeek;29,4;.;.
;WK017311;Wijk 11 De Thij;22,3;34;13,7
;WK017312;Wijk 12 De Graven Es;28,3;14,6;32,5
;WK017313;Wijk 13 De Essen;25,9;20,3;23,5
;WK017314;Wijk 14 Bekspring;25,1;.;.
GM0175;Totaal;Ommen;25,1;32,5;21
;WK017501;Ommen;25,1;35;18,5
;WK017502;Arrien;27,4;15,8;31,7
;WK017503;Beerze;27,4;.;.
;WK017504;Beerzerveld;22,3;24,2;23,4
;WK017505;Dalmsholte;23,8;19;37,9
;WK017506;Giethmen;25,5;.;.
;WK017507;Lemele;24,8;26,1;27,5
;WK017508;Stegeren;26,5;38;20,8
;WK017509;Vilsteren;24,1;26,7;20,5
;WK017510;Vinkenbuurt;30,7;26,3;32,5
;WK017511;Witharen;25,8;24,8;29,6
GM0177;Totaal;Raalte;25,2;32,6;21,6
;WK017701;Raalte;24,8;36,3;18,6
;WK017702;Luttenberg;25;28,4;26,3
;WK017703;Mariënheem;25,2;24,4;25,8
;WK017704;Nieuw Heeten;24,2;28,9;24,4
;WK017705;Heeten;25,1;28,9;27,6
;WK017706;Broekland;28;21,7;33,2
;WK017707;Heino;25,6;30,2;21
;WK017708;Lierderholthuis;28,4;24,9;29,5
;WK017709;Laag Zuthem;28,3;21,5;39,1
GM0180;Totaal;Staphorst;22;27;25,8
;WK018000;Wijk 00 Staphorst (kern);21;29,3;23,5
;WK018001;Wijk 01 Rouveen (kern);21,4;22,2;26,6
;WK018002;Wijk 02 Rouveen (buitengebied);22,7;18,2;42,1
;WK018003;Wijk 03 Staphorst (buitengebied);21,8;20;38,2
;WK018004;Wijk 04 IJhorst;27,4;33,3;21
;WK018005;Wijk 05 Punthorst;24,4;22;32,4
;WK018006;Wijk 06 Lankhorst;24,6;22,4;28,4
;WK018007;Wijk 07 Klooster;.;.;.
GM0183;Totaal;Tubbergen;24,9;28,6;28,8
;WK018300;Wijk 00 Tubbergen;25,1;33,5;25,7
;WK018301;Wijk 01 Albergen;25,5;25,5;31
;WK018302;Wijk 02 Harbrinkhoek;25,2;22,4;30,3
;WK018303;Wijk 03 Geesteren;24,9;28,5;29,4
;WK018304;Wijk 04 Langeveen;23;29,7;26,3
;WK018305;Wijk 05 Vasse;24,7;25,6;30,3
;WK018306;Wijk 06 Reutum;24,3;28;28
;WK018307;Wijk 07 Fleringen;24,9;20,4;40,5
GM0184;Totaal;Urk;20,4;23,6;27,4
;WK018400;Wijk 00 Urk;20,4;23,6;27,4
GM0189;Totaal;Wierden;25,7;27,7;26,9
;WK018900;Wijk 00 Wierden (kern);25,1;29,9;22,3
;WK018901;Wijk 01 Landelijk gebied Wierden;30,3;18,4;43,4
;WK018902;Wijk 02 Hooge-Hexel;24,6;26,1;36,7
;WK018903;Wijk 03 Enter (kern);25,4;28,3;26,2
;WK018904;Wijk 04 Landelijk gebied Enter;27,3;18,6;42
;WK018905;Wijk 05 Rectum - Notter - Zuna;27,3;19;42,8
GM0193;Totaal;Zwolle;26,4;42;18,3
;WK019310;Wijk 10 Binnenstad;35,1;54,7;14,5
;WK019311;Wijk 11 Diezerpoort;23,1;66,4;6,2
;WK019312;Wijk 12 Wipstrik;29,8;41,1;22,1
;WK019313;Wijk 13 Assendorp;27;52,4;13,4
